,1,2,3,4,5,6,7,8,9,10
,斗鱼,熊猫TV,虎牙,战旗TV,龙珠,火猫,花椒,一直播,全民TV,触手TV
2018年02月22日（周四）,11752378,812447,291254,4087783,319869,986177,143072,63360,245267,153291
2018年02月23日（周五）,12058962,812447,286144,4036686,340308,1154798,143072,68470,240157,148182
2018年02月24日（周六）,12467741,807337,255486,3985589,396515,1425614,132852,68470,229938,148182
2018年02月25日（周日）,12569935,853324,245267,3781200,416953,1721979,122633,116501,240157,153291
2018年02月26日（周一）,12569935,832886,260596,3776090,462941,1808844,117523,126721,235047,163511
2018年02月27日（周二）,12467741,812447,255486,3673895,488490,1716869,107304,136940,224828,158401
2018年02月28日（周三）,12467741,822666,235047,3433738,442502,1573796,102194,136940,204389,153291
2018年03月01日（周四）,12621032,899312,291254,3372421,470095,1456273,86865,142050,199279,163511
2018年03月02日（周五）,12774324,919751,296364,3372421,510973,1302981,81755,162489,215630,173731
2018年03月03日（周六）,12876519,940190,296364,3423519,470095,1057714,71025,172708,237602,168621
2018年03月04日（周日）,12927616,955519,321913,3576811,413888,914641,81244,143072,237602,163511
2018年03月05日（周一）,13029811,1032165,335709,3505274,434327,863544,96573,183950,227382,142050
2018年03月06日（周二）,12978713,1119031,349505,3469506,470095,858434,96573,194169,217163,131830
2018年03月07日（周三）,13132005,1241664,344396,3464396,449656,843105,91463,194169,217163,131830
2018年03月08日（周四）,13438589,1190567,283079,3397970,521192,802227,96573,194169,228404,126721
2018年03月09日（周五）,13540784,1292761,277969,3270227,541631,797118,96573,189059,212053,121611
2018年03月10日（周六）,13642978,1364298,272859,3270227,480314,776679,102194,189059,208987,131830
2018年03月11日（周日）,13796270,1420505,252421,3219129,567180,659155,102194,173730,222784,136940
2018年03月12日（周一）,13898465,1369407,218185,3300885,587619,694923,91974,148182,222784,153291
2018年03月13日（周二）,13949562,1313200,199279,3341763,587619,715362,112413,137962,227894,153291
2018年03月14日（周三）,13847367,1170128,205411,3336653,516082,730691,117523,148182,217674,148182
2018年03月15日（周四）,13745173,1195676,212564,3321324,457831,761349,117523,153292,220229,148182
2018年03月16日（周五）,13796270,1108811,192125,3321324,468051,797118,122633,143072,240668,148182
2018年03月17日（周六）,13694076,1073043,202345,3321324,560026,868654,132852,143072,221762,148182
2018年03月18日（周日）,13540784,1001507,176796,3270227,534477,975958,122633,153291,213075,158401
2018年03月19日（周一）,13387492,1001507,187016,3188471,457831,970848,143072,169643,213075,168621
2018年03月20日（周二）,13438589,1001507,191614,3173142,534477,950409,127743,179862,207966,168621
2018年03月21日（周三）,13438589,1037275,196724,3193581,494621,1016836,127743,184972,234025,183950
2018年03月22日（周四）,13285297,1001507,189571,3214019,555938,1083262,132852,174752,210009,194169
2018年03月23日（周五）,13080908,1016836,184461,3208910,593750,1129250,137962,184972,201834,194169
2018年03月24日（周六）,13183103,975958,189571,3101605,506885,1154799,137962,190082,217163,204389
2018年03月25日（周日）,13183103,945300,235558,3050508,481336,1195676,137962,195191,196724,194169
